#
# $Id$
#
# -----------------------------------------------------------------------------------------------------							
#							
# This first section includes a set of "custom" QTs							
# which are commonly used but not defined elsewhere.							
#							
# Name	DataType	Scale	MAGE Subclass	isBackground	ConfidenceIndicator target QT	Channel	Description
>>>Tab2MAGE_FGEM[ebi.ac.uk]							
CHPCommonPairs	integer	linear_scale	SpecializedQuantitationType				The number of common probe pairs on two arrays (experiment versus baseline) after saturation across the probe set is determined.
CHPDPos-DNegRatio	float	linear_scale	Ratio				The ratio of the change in positive to the change in negative pairs
CHPDec	integer	linear_scale	SpecializedQuantitationType				The number of decreasing pairs
CHPDecRatio	float	linear_scale	Ratio				The ratio of decreasing pairs to the total number of pairs.
CHPDetection	string_datatype	unscaled	PresentAbsent				A measurement indicating if the transcript was detected (Present), not detected (Absent) or marginally detected (Marginal). Can be one of "A", "M", "P" or "No Call".
CHPDetectionPvalue	float	linear_scale	PValue		CHPDetection		See Detection p-value
CHPDiffCall	string_datatype	unscaled	PresentAbsent				The comparison change call
CHPFoldChange	float	linear_scale	Ratio				The fold change
CHPInc	integer	linear_scale	SpecializedQuantitationType				The number of increasing pairs.
CHPIncDecRatio	float	linear_scale	Ratio				The ratio of increase to decrease pairs.
CHPIncRatio	float	linear_scale	Ratio				The ratio of increasing pairs to the total number of pairs
CHPLogAvg	float	log_base_10	DerivedSignal				Average log ratio
CHPLogAvgRatioChange	float	log_base_10	SpecializedQuantitationType				The change in log average ratio
CHPNegChange	integer	linear_scale	SpecializedQuantitationType				The change in negative pairs
CHPNegative	integer	linear_scale	SpecializedQuantitationType				Number of negative probe pairs
CHPPairs	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set.
CHPPairsInAvg	integer	linear_scale	SpecializedQuantitationType				Number of probe pairs used in computing the average intensity difference
CHPPairsUsed	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set used in the Detection call.
CHPPosChange	float	linear_scale	SpecializedQuantitationType				The change in positive pairs.
CHPPosFraction	float	linear_scale	Ratio				The fraction of positive pairs
CHPPosNegRatio	float	linear_scale	Ratio				The ratio of the positive to the negative pairs
CHPPositive	integer	linear_scale	SpecializedQuantitationType				Number of positive probe pairs
CHPSignal	float	linear_scale	DerivedSignal				A measure of the relative abundance of a transcript.
CHPSignalLogRatio	float	log_base_2	Ratio				The change in expression level for a transcript between a baseline and an experiment array. This change is expressed as the Log2 ratio.
CHPSignalLogRatioHigh	float	log_base_2	Ratio				The upper limit of the Signal Log Ratio within a 95% confidence interval.
CHPSignalLogRatioLow	float	log_base_2	Ratio				The lower limit of the Signal Log Ratio within a 95% confidence interval.
CHPSortScore	float	linear_scale	SpecializedQuantitationType				The sort score.
ProbeSetName	string_datatype	unscaled	SpecializedQuantitationType				The name of the probe set.
Stat Pairs	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set.
Stat Pairs Used	integer	linear_scale	SpecializedQuantitationType				The number of probe pairs in the probe set used in the Detection call.
>>>AppliedBiosystems[Celera]							
Assay_Normalized_Signal	float		DerivedSignal				
CV	float		SpecializedQuantitationType				
Flags	integer	unscaled	SpecializedQuantitationType				
SDEV	float	linear_scale	MeasuredSignal				
S_N	float		SpecializedQuantitationType				
Signal	float	linear_scale	MeasuredSignal				
>>>ArrayGauge[FUJIFILM]							
Dens.(Total PSL)	float	linear_scale	MeasuredSignal	0			Total phospho stimulated luminescence.
Norm Data	float	log_base_2	DerivedSignal				
Overshining Status	boolean	unscaled	SpecializedQuantitationType				During quantification the analysis spots that display false positive intensity due to non-specific signal from neighboring clones are excluded.
Total PSL	float	linear_scale	SpecializedQuantitationType	0			Total phospho stimulated luminescence.
>>>ArrayVision[Imaging Research]							
% At Ceiling - Bkgd_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Clipped pixels - A quality control measure that reports the proportion of pixels at the uppermost limit (ceiling) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data. V
% At Ceiling - Bkgd_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Clipped pixels - A quality control measure that reports the proportion of pixels at the uppermost limit (ceiling) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data. V
% At Ceiling_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Clipped pixels - A quality control measure that reports the proportion of pixels at the uppermost limit (ceiling) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data.
% At Ceiling_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Clipped pixels - A quality control measure that reports the proportion of pixels at the uppermost limit (ceiling) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data.
% At Floor - Bkgd_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Clipped pixels - A quality control measure that reports the proportion of pixels at the lowermost limit (floor) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data. Val
% At Floor - Bkgd_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Clipped pixels - A quality control measure that reports the proportion of pixels at the lowermost limit (floor) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data. Val
% At Floor_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Clipped pixels - A quality control measure that reports the proportion of pixels at the lowermost limit (floor) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data.
% At Floor_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Clipped pixels - A quality control measure that reports the proportion of pixels at the lowermost limit (floor) of the density scale. The presence of clipped pixels suggest a problem during image formation, and can affect the validity of density data.
% Replaced (AR VOL)_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Percentage of pixels replaced with estimated values in the calculation of AR volume.
% Replaced (AR VOL)_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Percentage of pixels replaced with estimated values in the calculation of AR volume.
AR VOL - RFU_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Artifact-removed density value for each spot, multiplied by its area.
AR VOL - RFU_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Artifact-removed density value for each spot, multiplied by its area.
Area - 5m2_Cy3	integer	linear_scale	SpecializedQuantitationType			Cy3	Area of the spot, background and/or reference region.
Area - 5m2_Cy5	integer	linear_scale	SpecializedQuantitationType			Cy5	Area of the spot, background and/or reference region.
Area - mm2_Cy3	integer	linear_scale	SpecializedQuantitationType			Cy3	Area of the spot, background and/or reference region.
Area - mm2_Cy5	integer	linear_scale	SpecializedQuantitationType			Cy5	Area of the spot, background and/or reference region.
Area - %G�%@m2_Cy3		linear_scale	SpecializedQuantitationType			Cy3	Area of the spot, background and/or reference region.
Area - %G�%@m2_Cy5		linear_scale	SpecializedQuantitationType			Cy5	Area of the spot, background and/or reference region.
Bkgd_Cy3	float	linear_scale	MeasuredSignal	1		Cy3	Background density or volume; background volume value is adjusted to the size of spot, where applicable.
Bkgd_Cy5	float	linear_scale	MeasuredSignal	1		Cy5	Background density or volume; background volume value is adjusted to the size of spot, where applicable.
Flag_Cy3	boolean	linear_scale	PresentAbsent			Cy3	Select this measure to manually flag data in the data table. The value of this measure can be 0 or 1.
Flag_Cy5	boolean	linear_scale	PresentAbsent			Cy5	Select this measure to manually flag data in the data table. The value of this measure can be 0 or 1.
MAD - RFU / 5m2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
MAD - RFU / 5m2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
MAD - RFU / mm2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
MAD - RFU / mm2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
MAD - RFU / %G�%@m2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
MAD - RFU / %G�%@m2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Median of absolute deviation - median of the absolute values of deviations from the median density (i.e., the absolute values of pixel densities  median density); it is a measure of the variation around the median density value of the spot.
Median Dens - Levels_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Median Density value of the spot Levels. ['Gray levels' (Levels) are the raw pixel intensity values upon which all other density/intensity scales are based.]
Median Dens - Levels_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Median Density value of the spot Levels. ['Gray levels' (Levels) are the raw pixel intensity values upon which all other density/intensity scales are based.]
Median Dens - RFU / %G�%@m2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	
Median Dens - RFU / %G�%@m2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	
S/N_Cy3	float	linear_scale	Ratio	1		Cy3	Signal-to-noise ratio - spot density minus background density, divided by the SD of the background density.
S/N_Cy5	float	linear_scale	Ratio	1		Cy5	Signal-to-noise ratio - spot density minus background density, divided by the SD of the background density.
SD - Levels_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Standard deviation of the pixel Levels values.
SD - Levels_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Standard deviation of the pixel Levels values.
SD - RFU / 5m2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Standard deviation of the pixel density values.
SD - RFU / 5m2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Standard deviation of the pixel density values.
SD - RFU / mm2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Standard deviation of the pixel density values.
SD - RFU / mm2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Standard deviation of the pixel density values.
SD - RFU / %G�%@m2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Standard deviation of the pixel density values.
SD - RFU / %G�%@m2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Standard deviation of the pixel density values.
SPOTLABEL							
Spot labels	integer	linear_scale	SpecializedQuantitationType				
VOL - Levels x mm2_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	
VOL - Levels x mm2_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	
sARMDens_Cy3	float	linear_scale	MeasuredSignal			Cy3	Background corrected ARM Density value. ARM Density value of the spot, minus the background Density value.
sARMDens_Cy5	float	linear_scale	MeasuredSignal			Cy5	Background corrected ARM Density value. ARM Density value of the spot, minus the background Density value.
sARVOL_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Subtracted AR volume value (AR volume value of the spot minus the background volume value); the background value is adjusted to the size of the spot when applicable.
sARVOL_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Subtracted AR volume value (AR volume value of the spot minus the background volume value); the background value is adjusted to the size of the spot when applicable.
sMedianDens_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Background corrected Median Density value. Median Density value of the spot, minus the background Density value.
sMedianDens_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Background corrected Median Density value. Median Density value of the spot, minus the background Density value.
sVOL_Cy3	float	linear_scale	SpecializedQuantitationType			Cy3	Background corrected Volume value. Volume value of the spot, minus the background Volume value. The background value is adjusted to the size of the spot when applicable. sVOL = DxA_data - ((DxA_bkgd * Area_data)/Area_bkgd)).
sVOL_Cy5	float	linear_scale	SpecializedQuantitationType			Cy5	Background corrected Volume value. Volume value of the spot, minus the background Volume value. The background value is adjusted to the size of the spot when applicable. sVOL = DxA_data - ((DxA_bkgd * Area_data)/Area_bkgd)).
>>>BZScan[TAGC ERM206]							
Diameter	float	linear_scale	SpecializedQuantitationType				Automatically computed spot diameter.
Fit_correction	float	linear_scale	SpecializedQuantitationType	1			Background level by unit surface.
Overshining_correction	float	linear_scale	SpecializedQuantitationType				Correction for overshining by unit radius.
Q(fit,const)	float	linear_scale	SpecializedQuantitationType				Spot intensity based on user-provided diameter and theoretical fit to the data.
Q(fit,var)	float	linear_scale	SpecializedQuantitationType				Spot intensity based on computed diameter and and theoretical fit to the data.
Q(image,const)	float	linear_scale	MeasuredSignal				Spot intensity based on user-provided diameter and measured data.
Q(image,var)	float	linear_scale	SpecializedQuantitationType				Spot intensity based on computed diameter and measured data.
QM	float	linear_scale	PValue		Q(image,const)		Quality metric: distance between measured data and theoretical fit.
SpotQuality	boolean	unscaled	PresentAbsent				Present/Absent (automatic guess).
>>>BeadStudio[Illumina]							
MIN_Signal	float	linear_scale	SpecializedQuantitationType				Minimum intensity of the Bead Type/target in the group.
AVG_Signal	float	linear_scale	MeasuredSignal				Average intensity of the Bead Type/target in the group.
MAX_Signal	float	linear_scale	SpecializedQuantitationType				Maximum intensity of the Bead Type/target in the group.
NARRAYS	integer	linear_scale	SpecializedQuantitationType				Number of samples in the group.
ARRAY_STDEV			SpecializedQuantitationType				Standard deviation associated with sample-to-sample variability within the group (undefined when the group contains a single sample).
BEAD_STDEV	float	linear_scale	Error		AVG_Signal		Average standard deviation associated with bead-to-bead variability for the samples in the group.
Avg_NBEADS	integer	linear_scale	SpecializedQuantitationType				Average number of beads per bead type representing probes for the gene.
Detection	float		SpecializedQuantitationType				1-p-value computed from the background model characterizing the chance that the target sequence signal was distinguishable from the negative controls.
Detection Pval	float		SpecializedQuantitationType				
DiffScore	float		SpecializedQuantitationType				Statistical confidence that the gene's expression has changed with respect to a reference group.
Concordance	float		SpecializedQuantitationType				Number of probes showing upregulated signal compared to the number of probes showing downregulated signal.
>>>BlueFuse[BlueGnome]							
AMPCH1	float	linear_scale	MeasuredSignal			Cy3	Total signal in Cy3 channel.
AMPCH2	float	linear_scale	MeasuredSignal			Cy5	Total signal in Cy5 channel.
AUTO EXCL	string_datatype	unscaled	SpecializedQuantitationType				Indication of whether a spot has been automatically excluded. Yes - it has been excluded, no - it has not been excluded.
BLOCK	integer	linear_scale	SpecializedQuantitationType				The sequential number of the block on the array.
CIRCULARITY	float	linear_scale	SpecializedQuantitationType				Estimate of the circularity of the spot, between 0 and 1. The nearer to 1, the more circular the spot.
CONFIDENCE	float	linear_scale	SpecializedQuantitationType				The Confidence Estimate in the calculated ratio, between 0 and 1.
FLAG	string_datatype	unscaled	SpecializedQuantitationType				The Confidence Flag calculated from the Confidence Estimate.
GRID OFFSET	float	linear_scale	SpecializedQuantitationType				Distance in pixels of the spot from the ideal grid position.
ID	string_datatype	unscaled	SpecializedQuantitationType				The ID of the spot, taken from ID field in GAL file.
LOG10PRODUCT	float	log_base_10	SpecializedQuantitationType				Log base 10 of the product of total signal in Cy3 channel multiplied by total signal in Cy5 channel.
LOG10RATIO CH1/CH2	float	log_base_10	SpecializedQuantitationType				Log base 10 of the ratio of total signal in Cy3 channel divided by total signal in Cy5 channel.
LOG10RATIO CH2/CH1	float	log_base_10	SpecializedQuantitationType				Log base 10 of the ratio of total signal in Cy5 channel divided by total signal in Cy3 channel.
LOG10SUM	float	log_base_10	SpecializedQuantitationType				Log base 10 of the sum of total signal in Cy3 channel plus total signal in Cy5 channel.
LOG2PRODUCT	float	log_base_2	SpecializedQuantitationType				Log base 2 of the product of total signal in Cy3 channel multiplied by total signal in Cy5 channel.
LOG2RATIO CH1/CH2	float	log_base_2	Ratio				Log base 2 of the ratio of total signal in Cy3 channel divided by total signal in Cy5 channel.
LOG2RATIO CH2/CH1	float	log_base_2	SpecializedQuantitationType				Log base 2 of the ratio of total signal in Cy5 channel divided by total signal in Cy3 channel.
LOG2SUM	float	log_base_2	SpecializedQuantitationType				Log base 2 of the sum of total signal in Cy3 channel plus total signal in Cy5 channel.
MAN EXCL	string_datatype	unscaled	SpecializedQuantitationType				Indication of whether a spot has been manually excluded. Yes - it has been manually excluded, no - it has not been manually excluded.
NAME	string_datatype	unscaled	SpecializedQuantitationType				The name of the spot, taken from Name field in GAL file.
P ON CH1	float	linear_scale	SpecializedQuantitationType			Cy3	Estimate of whether there is a biological signal in Cy3 channel, between 0 and 1.
P ON CH2	float	linear_scale	SpecializedQuantitationType			Cy5	Estimate of whether there is a biological signal in Cy5 channel, between 0 and 1.
PELCOL	integer	linear_scale	SpecializedQuantitationType				Calculated horizontal position of the spot on image in pixels. 1 is the left column of pixels.
PELROW	integer	linear_scale	SpecializedQuantitationType				Calculated vertical position of the spot on image in pixels. 1 is the top row of pixels.
PRODUCT	float	linear_scale	SpecializedQuantitationType				Product of total signal in Cy3 channel multiplied by total signal in Cy5 channel.
QUALITY			SpecializedQuantitationType				
RADIUS	float	linear_scale	SpecializedQuantitationType				Estimate of the radius of the spot in pixels.
RATIO CH1/CH2	float	linear_scale	SpecializedQuantitationType				Ratio of total signal in Cy3 channel divided by total signal channel in Cy5 channel.
RATIO CH2/CH1	float	linear_scale	SpecializedQuantitationType				Ratio of total signal in Cy5 channel divided by total signal channel in Cy3 channel.
SPOTNUM	integer	linear_scale	SpecializedQuantitationType				The sequential number of the spot on the array.
SUM	float	linear_scale	SpecializedQuantitationType				Sum of total signal in Cy3 channel plus total signal in Cy5 channel.
UNIFORMITY	float	linear_scale	SpecializedQuantitationType				Estimate of the uniformity of the spot, between 0 and 1. The nearer to 1 the more coin-shaped the spot, i.e. vertical sides and horizontal surface.
>>>ChipSkipper[EMBL]							
Comment	string_datatype	unscaled	SpecializedQuantitationType				Additional description of spot.
Comp_Channel Cy3	float	linear_scale	DerivedSignal			Cy3	Normalised intensity of Cy3_Vol-BG.
Comp_Channel Cy5	float	linear_scale	DerivedSignal			Cy5	Normalised intensity of Cy5_Vol-BG.
Comp_Directional_Ratio-Cy5/Cy3	float	linear_scale	SpecializedQuantitationType				Compensated directional ratio: if Comp_Ratio > 1 then Directional = Ratio, if Ratio < 1 then Directional = -1/Ratio.
Comp_Log2_Ratio	float	log_base_2	SpecializedQuantitationType				Compensated Log2 ratio: log2 (Comp_Ratio-Cy5/Cy3).
Comp_Ratio-Cy5/Cy3	float	linear_scale	Ratio				Compensated ratio ( = Comp_Channel Cy5 / Comp_Channel Cy3 ).
Cy3_Av-Vol/pixel	float	linear_scale	SpecializedQuantitationType			Cy3	Average intensity per pixel in color channel Cy3.
Cy3_BG-Arith	float	linear_scale	SpecializedQuantitationType	1		Cy3	Arithmetic average for local background in color channel Cy3.
Cy3_BG-Geom	float	linear_scale	SpecializedQuantitationType	1		Cy3	Geometric average for local background in color channel Cy3.
Cy3_BG-Median	float	linear_scale	SpecializedQuantitationType	1		Cy3	Median average for local background in color channel Cy3.
Cy3_BG_Tot	float	linear_scale	MeasuredSignal	1		Cy3	Total integrated background in color channel Cy3.
Cy3_SNR1	float	linear_scale	Error		Cy3_Vol-BG	Cy3	Sdev of local background average in color channel Cy3.
Cy3_SNR1_Score	float	linear_scale	Error		Cy3_Vol-BG	Cy3	Quality value based on intensity and background for color channel Cy3 (range: 0 = bad....1 = good).
Cy3_Sat-pixel	float	linear_scale	SpecializedQuantitationType			Cy3	Number of saturated pixel in color channel Cy3.
Cy3_Spot-area	float	linear_scale	SpecializedQuantitationType			Cy3	Area of spot in colour channel Cy3 in pixels.
Cy3_Vol-BG	float	linear_scale	SpecializedQuantitationType	1		Cy3	Background reduced intensity of colour channel Cy3.
Cy3_Volume	integer	linear_scale	MeasuredSignal			Cy3	Total integrated signal intensity in color channel Cy3.
Cy5_Av-Vol/pixel	float	linear_scale	SpecializedQuantitationType			Cy5	Average intensity per pixel in color channel Cy5.
Cy5_BG-Arith	float	linear_scale	SpecializedQuantitationType	1		Cy5	Arithmetic average for local background in color channel Cy5.
Cy5_BG-Geom	float	linear_scale	SpecializedQuantitationType	1		Cy5	Geometric average for local background in color channel Cy5.
Cy5_BG-Median	float	linear_scale	SpecializedQuantitationType	1		Cy5	Median average for local background in color channel Cy5.
Cy5_BG_Tot	float	linear_scale	MeasuredSignal	1		Cy5	Total integrated background in color channel Cy5.
Cy5_SNR1	float	linear_scale	Error		Cy5_Vol-BG	Cy5	Sdev of local background average in color channel Cy5.
Cy5_SNR1_Score	float	linear_scale	Error		Cy5_Vol-BG	Cy5	Quality value based on intensity and background for color channel Cy5 (range: 0 = bad....1 = good).
Cy5_Sat-pixel	float	linear_scale	SpecializedQuantitationType			Cy5	Number of saturated pixel in color channel Cy5.
Cy5_Spot-area	float	linear_scale	SpecializedQuantitationType			Cy5	Area of spot in colour channel Cy5 in pixels.
Cy5_Vol-BG	float	linear_scale	SpecializedQuantitationType	1		Cy5	Background reduced intensity of colour channel Cy5.
Cy5_Volume	integer	linear_scale	MeasuredSignal			Cy5	Total integrated signal intensity in color channel Cy5.
Directional_Ratio-Cy5/Cy3	float	linear_scale	SpecializedQuantitationType				Directional ratio: if Ratio > 1 then Directional = Ratio, if Ratio < 1 then Directional = -1/Ratio.
Flags	string_datatype	unscaled	SpecializedQuantitationType				Quality Flags: SNR1,SNR2 = low signal quality in color channel Cy5, Cy3; GS = low geometric score; MB = manually flagged bad.
GS_Flags	string_datatype	linear_scale	SpecializedQuantitationType				P = pass or M = marginal flag.
Group name	string_datatype	unscaled	SpecializedQuantitationType				Group name for this spot.
Image-x-Pos	integer	linear_scale	SpecializedQuantitationType				Image coordinate of spot.
Image-y-Pos	integer	linear_scale	SpecializedQuantitationType				Image coordinate of spot.
Line_Counter	integer	unscaled	SpecializedQuantitationType				Line counter
Log2_Ratio-Cy5/Cy3	float	log_base_2	Ratio				Log2 ratio: log2 (Ratio-Cy5/Cy3)
Median of ratios	float	linear_scale	SpecializedQuantitationType				Median of ratios (Cy5/Cy3) from all pixel in this spot.
Median of ratios % SDev	float	linear_scale	SpecializedQuantitationType				Standard deviation of Median of ratios in percent.
Ratio of medians	float	linear_scale	SpecializedQuantitationType				Ratio of Medians (Cy5/Cy3) from all pixel in this spot.
